country,run_name,depth_bound,frontier_max_size,gamma,k,x0,C,transfer_amounts,runtime_seconds,num_schedules_returned,best_final_eu,best_discovery_order,best_num_actions,best_num_transforms,best_num_transfers,best_participants,best_schedule_text,output_file
Valmorika,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.198566,5,-1.495898,1,4,0,4,"NovaShara,Valmorika",(TRANSFER NovaShara Valmorika ((MetallicElements 1))) | (TRANSFER NovaShara Valmorika ((Timber 2))) | (TRANSFER NovaShara Valmorika ((MetallicElements 2))) | (TRANSFER NovaShara Valmorika ((Timber 2))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Pontakiri,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.343000,5,-1.486268,1,4,0,4,"NovaShara,Pontakiri",(TRANSFER NovaShara Pontakiri ((MetallicElements 1))) | (TRANSFER NovaShara Pontakiri ((Timber 2))) | (TRANSFER NovaShara Pontakiri ((MetallicElements 2))) | (TRANSFER NovaShara Pontakiri ((Timber 2))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
NovaShara,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.329588,5,-1.483246,1,4,0,4,"NovaShara,Pontakiri",(TRANSFER Pontakiri NovaShara ((MetallicElements 1))) | (TRANSFER Pontakiri NovaShara ((Timber 2))) | (TRANSFER Pontakiri NovaShara ((MetallicElements 2))) | (TRANSFER Pontakiri NovaShara ((Timber 2))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Azumarion,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.316037,5,-1.491574,1,4,0,4,"Azumarion,NovaShara",(TRANSFER NovaShara Azumarion ((MetallicElements 1))) | (TRANSFER NovaShara Azumarion ((Timber 2))) | (TRANSFER NovaShara Azumarion ((MetallicElements 2))) | (TRANSFER NovaShara Azumarion ((Timber 2))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Elduraja,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.367011,5,-1.489064,1,4,0,4,"Elduraja,NovaShara",(TRANSFER NovaShara Elduraja ((MetallicElements 1))) | (TRANSFER NovaShara Elduraja ((Timber 2))) | (TRANSFER NovaShara Elduraja ((MetallicElements 2))) | (TRANSFER NovaShara Elduraja ((Timber 2))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
