country,run_name,depth_bound,frontier_max_size,gamma,k,x0,C,transfer_amounts,runtime_seconds,num_schedules_returned,best_final_eu,best_discovery_order,best_num_actions,best_num_transforms,best_num_transfers,best_participants,best_schedule_text,output_file
Valmorika,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.308774,5,-1.405156,17,4,1,3,"Azumarion,Valmorika",(TRANSFER Azumarion Valmorika ((Housing 2))) | (TRANSFER Azumarion Valmorika ((Timber 3))) | (TRANSFER Azumarion Valmorika ((MetallicAlloys 3))) | (TRANSFORM Valmorika BUILD_HOUSING),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Pontakiri,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.345377,5,-0.859928,3,4,4,0,Pontakiri,(TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri BUILD_HOUSING),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
NovaShara,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.431172,5,-1.313194,1,4,1,3,"Azumarion,NovaShara",(TRANSFER Azumarion NovaShara ((Housing 2))) | (TRANSFER Azumarion NovaShara ((MetallicAlloys 3))) | (TRANSFORM NovaShara BUILD_HOUSING) | (TRANSFER Azumarion NovaShara ((MetallicElements 3))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Azumarion,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.161457,5,-0.899639,1,4,4,0,Azumarion,(TRANSFORM Azumarion MAKE_ALLOYS) | (TRANSFORM Azumarion MAKE_ALLOYS) | (TRANSFORM Azumarion BUILD_HOUSING) | (TRANSFORM Azumarion MAKE_ALLOYS),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Elduraja,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.296050,5,-1.372400,27,4,2,2,"Azumarion,Elduraja",(TRANSFORM Elduraja MAKE_ELECTRONICS) | (TRANSFER Azumarion Elduraja ((Housing 2))) | (TRANSFER Azumarion Elduraja ((MetallicAlloys 3))) | (TRANSFORM Elduraja BUILD_HOUSING),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
