country,run_name,depth_bound,frontier_max_size,gamma,k,x0,C,transfer_amounts,runtime_seconds,num_schedules_returned,best_final_eu,best_discovery_order,best_num_actions,best_num_transforms,best_num_transfers,best_participants,best_schedule_text,output_file
Valmorika,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.316353,5,-1.464862,1,4,1,3,"Azumarion,Valmorika",(TRANSFER Azumarion Valmorika ((Housing 1))) | (TRANSFER Azumarion Valmorika ((MetallicAlloys 3))) | (TRANSFORM Valmorika MAKE_ELECTRONICS) | (TRANSFER Azumarion Valmorika ((MetallicElements 3))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Pontakiri,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.297969,5,-0.884992,2,4,4,0,Pontakiri,(TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri BUILD_HOUSING),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
NovaShara,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.276408,5,-1.415071,1,4,0,4,"Elduraja,NovaShara",(TRANSFER Elduraja NovaShara ((Housing 2))) | (TRANSFER Elduraja NovaShara ((Electronics 3))) | (TRANSFER Elduraja NovaShara ((MetallicElements 3))) | (TRANSFER Elduraja NovaShara ((MetallicElements 3))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Azumarion,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.256049,5,-0.897718,1,4,4,0,Azumarion,(TRANSFORM Azumarion MAKE_ALLOYS) | (TRANSFORM Azumarion MAKE_ALLOYS) | (TRANSFORM Azumarion BUILD_HOUSING) | (TRANSFORM Azumarion MAKE_ALLOYS),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Elduraja,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.294256,5,-1.407371,5,4,1,3,"Azumarion,Elduraja",(TRANSFER Azumarion Elduraja ((Housing 1))) | (TRANSFER Azumarion Elduraja ((MetallicAlloys 3))) | (TRANSFORM Elduraja BUILD_HOUSING) | (TRANSFER Azumarion Elduraja ((MetallicElements 3))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
