country,run_name,depth_bound,frontier_max_size,gamma,k,x0,C,transfer_amounts,runtime_seconds,num_schedules_returned,best_final_eu,best_discovery_order,best_num_actions,best_num_transforms,best_num_transfers,best_participants,best_schedule_text,output_file
Valmorika,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.334499,5,-0.911633,1,4,4,0,Valmorika,(TRANSFORM Valmorika MAKE_ALLOYS) | (TRANSFORM Valmorika MAKE_ALLOYS) | (TRANSFORM Valmorika BUILD_HOUSING) | (TRANSFORM Valmorika MAKE_ALLOYS),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Pontakiri,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.352730,5,-0.884744,1,4,4,0,Pontakiri,(TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri BUILD_HOUSING) | (TRANSFORM Pontakiri MAKE_ALLOYS),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
NovaShara,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.355086,5,-0.875982,1,4,4,0,NovaShara,(TRANSFORM NovaShara MAKE_ALLOYS) | (TRANSFORM NovaShara MAKE_ALLOYS) | (TRANSFORM NovaShara BUILD_HOUSING) | (TRANSFORM NovaShara MAKE_ALLOYS),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Azumarion,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.245265,5,-0.900065,1,4,4,0,Azumarion,(TRANSFORM Azumarion MAKE_ALLOYS) | (TRANSFORM Azumarion BUILD_HOUSING) | (TRANSFORM Azumarion MAKE_ALLOYS) | (TRANSFORM Azumarion MAKE_ALLOYS),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Elduraja,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.248981,5,-0.919878,1,4,4,0,Elduraja,(TRANSFORM Elduraja MAKE_ALLOYS) | (TRANSFORM Elduraja MAKE_ALLOYS) | (TRANSFORM Elduraja BUILD_HOUSING) | (TRANSFORM Elduraja MAKE_ALLOYS),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
