country,run_name,depth_bound,frontier_max_size,gamma,k,x0,C,transfer_amounts,runtime_seconds,num_schedules_returned,best_final_eu,best_discovery_order,best_num_actions,best_num_transforms,best_num_transfers,best_participants,best_schedule_text,output_file
Valmorika,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.266384,5,-1.396639,19,4,1,3,"Azumarion,Valmorika",(TRANSFER Azumarion Valmorika ((Housing 2))) | (TRANSFER Azumarion Valmorika ((Electronics 1))) | (TRANSFER Azumarion Valmorika ((MetallicAlloys 3))) | (TRANSFORM Valmorika BUILD_HOUSING),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Pontakiri,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.219932,5,-0.859207,2,4,4,0,Pontakiri,(TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri MAKE_ALLOYS) | (TRANSFORM Pontakiri BUILD_HOUSING),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
NovaShara,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.206505,5,-1.315722,1,4,1,3,"Azumarion,NovaShara",(TRANSFER Azumarion NovaShara ((Housing 2))) | (TRANSFER Azumarion NovaShara ((MetallicAlloys 3))) | (TRANSFORM NovaShara BUILD_HOUSING) | (TRANSFER Azumarion NovaShara ((Electronics 1))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Azumarion,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.123808,5,-0.903628,1,4,4,0,Azumarion,(TRANSFORM Azumarion MAKE_ALLOYS) | (TRANSFORM Azumarion MAKE_ALLOYS) | (TRANSFORM Azumarion BUILD_HOUSING) | (TRANSFORM Azumarion MAKE_ALLOYS),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
Elduraja,depth4_high_failure_penalty,4,50,0.9,1.0,0.0,-2.0,"1.0,2.0,3.0",0.281665,5,-1.358290,5,4,1,3,"Azumarion,Elduraja",(TRANSFER Azumarion Elduraja ((Housing 2))) | (TRANSFER Azumarion Elduraja ((MetallicAlloys 3))) | (TRANSFORM Elduraja BUILD_HOUSING) | (TRANSFER Azumarion Elduraja ((Electronics 1))),F:\CS 5260-01 - Artificial Intelligence\Programming Project\simulation_outputs\depth4_high_failure_penalty_schedules.txt
